rw_mix,size,latency_ns,bandwidth_MBps
allwrites,8,1.99,36795.6
allwrites,8,1.99,35356.1
allwrites,8,1.97,34683.0
allwrites,8,2.05,32835.2
allwrites,8,2.02,32509.4
allwrites,8,2.16,30045.6
allwrites,16,2.03,936736.2
allwrites,16,2.03,893705.2
allwrites,16,2.04,636762.8
allwrites,16,2.11,299575.5
allwrites,16,2.03,141790.4
allwrites,16,2.04,86124.0
allwrites,16,2.05,63406.8
allwrites,16,2.11,51722.3
allwrites,16,1.97,50362.8
allwrites,16,2.04,45880.5
allwrites,16,2.16,39526.0
allwrites,16,2.20,36173.2
allwrites,16,2.01,37788.2
allwrites,16,1.99,36759.8
allwrites,16,1.98,35382.7
allwrites,16,2.27,30321.4
allwrites,16,1.98,33868.6
allwrites,16,1.96,33531.4
allwrites,16,2.17,29795.9
allwrites,32,3.59,735034.0
allwrites,32,3.71,671709.1
allwrites,32,3.26,563228.5
allwrites,32,3.37,281615.2
allwrites,32,2.23,129638.9
allwrites,32,2.13,83147.6
allwrites,32,2.01,64675.5
allwrites,32,2.05,53986.2
allwrites,32,2.17,46043.5
allwrites,32,2.29,41184.1
allwrites,32,2.04,41984.4
allwrites,32,2.07,38508.3
allwrites,32,1.98,38291.0
allwrites,32,2.16,33937.2
allwrites,32,2.33,30197.1
allwrites,32,2.04,33672.5
allwrites,32,2.04,32930.8
allwrites,32,2.05,32151.0
allwrites,32,2.12,30537.1
allwrites,64,7.92,535515.4
allwrites,64,8.13,534505.2
allwrites,64,8.06,489559.1
allwrites,64,8.25,234370.8
allwrites,64,7.27,111805.4
allwrites,64,8.00,60304.7
allwrites,64,7.72,39182.0
allwrites,64,7.59,30855.7
allwrites,64,7.77,25810.7
allwrites,64,7.94,21133.4
allwrites,64,8.03,17287.3
allwrites,64,8.14,15433.7
allwrites,64,7.71,14147.5
allwrites,64,7.82,12300.2
allwrites,64,7.09,12113.8
allwrites,64,8.58,9541.9
allwrites,64,7.36,10226.4
allwrites,64,7.11,9879.5
allwrites,64,7.95,8406.9
allwrites,128,7.59,487355.7
allwrites,128,7.98,491825.5
allwrites,128,8.26,444325.7
allwrites,128,8.12,232680.9
allwrites,128,8.34,105355.8
allwrites,128,8.01,59289.8
allwrites,128,7.44,38213.6
allwrites,128,6.99,30984.3
allwrites,128,7.71,25213.3
allwrites,128,7.63,22131.2
allwrites,128,7.21,19207.0
allwrites,128,7.35,16065.3
allwrites,128,8.37,13051.5
allwrites,128,8.27,12139.6
allwrites,128,7.46,11580.3
allwrites,128,7.86,10366.3
allwrites,128,7.56,9993.3
allwrites,128,7.78,9097.3
allwrites,128,7.94,8453.4
allwrites,256,8.66,517308.0
allwrites,256,8.16,527411.5
allwrites,256,8.12,475442.2
allwrites,256,8.83,226608.5
allwrites,256,7.78,108515.4
allwrites,256,7.54,63780.4
allwrites,256,8.58,40407.5
allwrites,256,8.21,30172.9
allwrites,256,7.69,25732.7
allwrites,256,7.82,22648.1
allwrites,256,7.56,19026.0
allwrites,256,7.47,16110.5
allwrites,256,7.80,13988.9
allwrites,256,7.39,13165.0
allwrites,256,7.31,11935.7
allwrites,256,7.76,10461.6
allwrites,256,8.11,9452.3
allwrites,256,7.64,9218.6
allwrites,256,8.11,8285.9
allwrites,512,14.65,458385.4
allwrites,512,12.95,448782.7
allwrites,512,13.95,429926.4
allwrites,512,15.33,212809.3
allwrites,512,9.63,99081.6
allwrites,512,9.12,58202.5
allwrites,512,8.89,39287.4
allwrites,512,10.43,27551.8
allwrites,512,10.12,22897.4
allwrites,512,8.97,20530.3
allwrites,512,9.15,17548.9
allwrites,512,10.10,13800.3
allwrites,512,9.09,12584.9
allwrites,512,10.48,10019.6
allwrites,512,9.74,9585.3
allwrites,512,9.74,8785.0
allwrites,512,8.28,9286.2
allwrites,512,8.58,8319.3
allwrites,512,9.79,6893.8
allwrites,1024,37.69,273991.3
allwrites,1024,34.04,281547.1
allwrites,1024,39.39,282494.7
allwrites,1024,31.69,206368.8
allwrites,1024,27.88,94578.3
allwrites,1024,23.76,57748.3
allwrites,1024,13.28,37265.7
allwrites,1024,13.16,27918.1
allwrites,1024,12.54,21798.5
allwrites,1024,11.87,19904.3
allwrites,1024,10.85,16594.9
allwrites,1024,11.04,13459.0
allwrites,1024,12.41,10964.7
allwrites,1024,12.51,9503.4
allwrites,1024,11.03,8940.2
allwrites,1024,11.30,7921.7
allwrites,1024,11.15,7243.4
allwrites,1024,11.62,6404.6
allwrites,1024,11.58,5894.9
allwrites,2048,158.17,148467.8
allwrites,2048,151.19,148946.6
allwrites,2048,164.51,148047.1
allwrites,2048,167.68,139689.8
allwrites,2048,143.30,82474.6
allwrites,2048,122.16,51789.5
allwrites,2048,85.30,32574.5
allwrites,2048,38.27,24324.6
allwrites,2048,33.83,19236.5
allwrites,2048,32.62,15504.5
allwrites,2048,29.61,12675.5
allwrites,2048,30.72,9651.5
allwrites,2048,30.24,7849.0
allwrites,2048,27.43,6907.7
allwrites,2048,29.14,5255.2
allwrites,2048,27.26,4626.5
allwrites,2048,25.57,4106.3
allwrites,2048,26.25,3317.2
allwrites,2048,26.76,2776.6
allwrites,4096,235.28,65577.7
allwrites,4096,243.34,65991.5
allwrites,4096,214.11,71661.1
allwrites,4096,192.89,71972.8
allwrites,4096,178.49,61692.0
allwrites,4096,165.68,48557.9
allwrites,4096,126.64,30613.3
allwrites,4096,103.15,23276.4
allwrites,4096,44.79,19136.6
allwrites,4096,46.60,15058.7
allwrites,4096,31.62,12462.1
allwrites,4096,29.76,9475.4
allwrites,4096,27.45,8294.3
allwrites,4096,28.96,6839.5
allwrites,4096,33.69,4962.2
allwrites,4096,30.28,4362.7
allwrites,4096,27.63,3927.2
allwrites,4096,28.89,3117.4
allwrites,4096,30.19,2518.6
allwrites,8192,237.84,55106.2
allwrites,8192,235.74,55253.1
allwrites,8192,231.98,56007.0
allwrites,8192,223.94,54745.6
allwrites,8192,189.48,59303.0
allwrites,8192,168.39,52518.2
allwrites,8192,125.51,32715.9
allwrites,8192,109.32,23368.5
allwrites,8192,109.25,18381.0
allwrites,8192,116.98,15264.8
allwrites,8192,113.71,11312.4
allwrites,8192,61.06,8718.4
allwrites,8192,53.27,6851.2
allwrites,8192,34.06,6510.9
allwrites,8192,31.85,5207.9
allwrites,8192,31.46,4222.9
allwrites,8192,40.02,3080.9
allwrites,8192,29.86,3043.5
allwrites,8192,30.15,2516.5
allwrites,16384,236.44,55168.3
allwrites,16384,230.87,55568.9
allwrites,16384,229.63,56352.7
allwrites,16384,230.18,54525.4
allwrites,16384,196.81,58061.7
allwrites,16384,172.86,46085.6
allwrites,16384,123.44,32200.8
allwrites,16384,114.47,27155.1
allwrites,16384,116.40,28978.4
allwrites,16384,113.30,14484.5
allwrites,16384,115.33,10987.1
allwrites,16384,125.97,7787.4
allwrites,16384,126.85,5794.1
allwrites,16384,124.06,5141.2
allwrites,16384,122.85,3712.0
allwrites,16384,117.14,2832.2
allwrites,16384,102.94,2224.3
allwrites,16384,76.91,1968.2
allwrites,16384,63.48,1761.7
allwrites,32768,205.38,71847.3
allwrites,32768,206.14,71762.0
allwrites,32768,205.74,71935.3
allwrites,32768,197.67,70488.3
allwrites,32768,180.03,67535.9
allwrites,32768,171.25,65186.4
allwrites,32768,150.22,53911.4
allwrites,32768,122.87,39221.4
allwrites,32768,101.74,30948.4
allwrites,32768,100.57,25275.0
allwrites,32768,102.02,19083.5
allwrites,32768,101.21,13865.8
allwrites,32768,103.86,10947.2
allwrites,32768,104.67,8537.0
allwrites,32768,101.51,6073.7
allwrites,32768,106.45,4553.5
allwrites,32768,105.00,3389.5
allwrites,32768,102.49,2153.8
allwrites,32768,112.82,1253.6
allwrites,65536,204.37,71521.6
allwrites,65536,206.12,71469.4
allwrites,65536,203.67,71551.7
allwrites,65536,197.21,70256.2
allwrites,65536,180.60,67071.1
allwrites,65536,172.80,64531.3
allwrites,65536,147.50,51640.7
allwrites,65536,115.86,37304.3
allwrites,65536,104.54,29647.8
allwrites,65536,102.18,24628.6
allwrites,65536,96.02,18072.7
allwrites,65536,103.43,13348.1
allwrites,65536,104.68,10576.0
allwrites,65536,100.57,8324.3
allwrites,65536,110.50,5939.3
allwrites,65536,107.10,4436.3
allwrites,65536,108.13,3291.8
allwrites,65536,107.56,2112.9
allwrites,65536,118.10,1213.8
allwrites,131072,220.48,66908.4
allwrites,131072,212.68,68760.3
allwrites,131072,216.22,68529.8
allwrites,131072,197.80,70190.2
allwrites,131072,183.13,66440.7
allwrites,131072,174.76,64243.2
allwrites,131072,150.49,50370.4
allwrites,131072,116.51,36769.9
allwrites,131072,104.80,29220.3
allwrites,131072,98.93,24205.4
allwrites,131072,102.97,18108.6
allwrites,131072,103.85,13053.1
allwrites,131072,105.11,10383.7
allwrites,131072,105.15,8189.5
allwrites,131072,106.64,5835.1
allwrites,131072,109.48,4375.8
allwrites,131072,106.23,3149.0
allwrites,131072,123.08,1812.1
allwrites,131072,120.85,1177.5
allwrites,262144,206.93,71172.4
allwrites,262144,206.58,71329.7
allwrites,262144,210.78,70038.0
allwrites,262144,198.78,70137.9
allwrites,262144,182.85,66926.1
allwrites,262144,173.00,64486.4
allwrites,262144,148.81,50037.8
allwrites,262144,116.18,36599.0
allwrites,262144,106.78,29067.5
allwrites,262144,99.21,23877.4
allwrites,262144,94.60,17966.8
allwrites,262144,99.22,12983.9
allwrites,262144,108.04,10387.9
allwrites,262144,107.46,8080.4
allwrites,262144,105.16,5799.6
allwrites,262144,106.77,4346.5
allwrites,262144,106.72,3248.4
allwrites,262144,107.99,2076.0
allwrites,262144,120.16,1190.2
allwrites,524288,218.65,68917.4
allwrites,524288,214.10,69276.1
allwrites,524288,208.03,71187.1
allwrites,524288,199.11,70061.5
allwrites,524288,184.99,66561.2
allwrites,524288,177.76,63306.5
allwrites,524288,148.10,49716.7
allwrites,524288,116.94,36001.4
allwrites,524288,107.52,28394.0
allwrites,524288,102.69,23614.4
allwrites,524288,94.72,17755.6
allwrites,524288,109.42,12909.6
allwrites,524288,109.95,10173.3
allwrites,524288,105.97,8096.3
allwrites,524288,109.11,5774.4
allwrites,524288,109.15,4298.7
allwrites,524288,109.63,3219.6
allwrites,524288,109.85,2030.6
allwrites,524288,126.87,1139.9
r70w30,1,1.60,737770.9
r70w30,1,1.83,601466.5
r70w30,1,1.68,494837.6
r70w30,1,1.51,373694.7
r70w30,1,1.45,186642.9
r70w30,1,1.47,121504.2
r70w30,1,1.27,100880.4
r70w30,1,1.25,86416.3
r70w30,1,1.22,80927.9
r70w30,1,1.29,72230.3
r70w30,1,1.16,72599.7
r70w30,1,1.16,67554.0
r70w30,1,1.23,61836.8
r70w30,1,1.20,60740.5
r70w30,1,1.27,55689.7
r70w30,1,1.15,59422.2
r70w30,1,1.20,55769.4
r70w30,1,1.19,55116.5
r70w30,1,1.16,55736.9
r70w30,2,1.32,1117590.5
r70w30,2,1.30,969407.2
r70w30,2,1.27,669034.5
r70w30,2,1.32,449969.2
r70w30,2,1.15,226925.4
r70w30,2,1.17,144122.7
r70w30,2,1.15,109081.7
r70w30,2,1.21,90627.5
r70w30,2,1.22,81468.3
r70w30,2,1.15,79760.5
r70w30,2,1.20,70941.5
r70w30,2,1.19,66290.1
r70w30,2,1.15,65725.8
r70w30,2,1.15,63362.9
r70w30,2,1.16,60400.0
r70w30,2,1.19,57736.4
r70w30,2,1.19,56454.2
r70w30,2,1.21,54247.2
r70w30,2,1.23,52494.2
r70w30,4,1.39,1267373.4
r70w30,4,1.40,1102889.3
r70w30,4,1.31,815992.7
r70w30,4,1.23,489254.5
r70w30,4,1.17,236356.2
r70w30,4,1.20,143733.2
r70w30,4,1.23,105006.7
r70w30,4,1.20,90890.1
r70w30,4,1.22,81485.7
r70w30,4,1.17,78840.8
r70w30,4,1.17,72488.5
r70w30,4,1.19,66364.5
r70w30,4,1.19,63695.5
r70w30,4,1.21,60595.4
r70w30,4,1.17,59905.5
r70w30,4,1.18,58066.4
r70w30,4,1.15,58520.5
r70w30,4,1.20,55028.2
r70w30,4,1.16,55636.7
r70w30,8,1.29,1398266.2
r70w30,8,1.27,1243208.6
r70w30,8,1.31,920361.1
r70w30,8,1.21,506205.7
r70w30,8,1.17,235756.8
r70w30,8,1.20,144966.0
r70w30,8,1.18,108393.3
r70w30,8,1.21,90816.5
r70w30,8,1.21,82342.7
r70w30,8,1.16,79209.7
r70w30,8,1.14,74248.8
r70w30,8,1.15,68488.3
r70w30,8,1.18,63979.7
r70w30,8,1.15,63414.4
r70w30,8,1.17,60197.7
r70w30,8,1.16,58817.8
r70w30,8,1.21,55360.3
r70w30,8,1.17,56204.6
r70w30,8,1.18,54675.6
r70w30,16,1.25,1505764.7
r70w30,16,1.32,1387502.9
r70w30,16,1.27,995956.1
r70w30,16,1.18,532451.8
r70w30,16,1.18,241851.6
r70w30,16,1.20,144600.5
r70w30,16,1.25,104753.7
r70w30,16,1.17,93059.9
r70w30,16,1.18,83928.4
r70w30,16,1.16,79533.5
r70w30,16,1.15,73319.0
r70w30,16,1.14,68907.8
r70w30,16,1.15,65475.8
r70w30,16,1.21,60646.7
r70w30,16,1.21,58171.7
r70w30,16,1.17,58483.9
r70w30,16,1.21,55657.4
r70w30,16,1.13,58023.9
r70w30,16,1.14,56564.9
r70w30,32,2.26,1179846.8
r70w30,32,1.82,1069466.2
r70w30,32,2.09,845406.1
r70w30,32,1.90,488970.1
r70w30,32,1.19,239573.5
r70w30,32,1.19,145634.6
r70w30,32,1.17,109080.1
r70w30,32,1.17,92709.3
r70w30,32,1.17,84371.5
r70w30,32,1.18,78334.1
r70w30,32,1.21,70854.9
r70w30,32,1.15,68210.6
r70w30,32,1.19,63738.8
