size_KiB,latency_ns
1,2.2
2,2.3
4,2.2
8,2.2
16,2.2
32,2.3
64,7.0
128,6.8
256,6.8
512,7.8
1024,9.8
2048,24.7
4096,28.6
8192,47.1
16384,50.0
32768,158.6
65536,144.8
131072,151.9
