mode,kernel,dtype,N,misaligned,tail_multiple,mean_GFLOPs,mean_CPE,count
SIMD,elemmul,f32,390892,1,1,6.679120999999999,0.5247012777777776,18.0
SIMD,elemmul,f32,544578,0,0,4.473495666666667,0.7844918333333335,18.0
SIMD,elemmul,f32,544578,0,1,4.418965,0.7928033333333333,18.0
SIMD,elemmul,f32,544578,1,0,6.086916555555556,0.5838777777777778,18.0
SIMD,elemmul,f32,544578,1,1,4.732191277777778,0.7428624444444444,18.0
SIMD,elemmul,f32,758688,0,0,3.854024833333334,0.9110390555555556,18.0
SIMD,elemmul,f32,758688,0,1,5.910223388888889,0.5954561666666666,18.0
SIMD,elemmul,f32,758688,1,0,4.578044388888888,0.7675805555555556,18.0
SIMD,elemmul,f32,758688,1,1,5.4019361111111115,0.6608357222222223,18.0
SIMD,elemmul,f32,1056978,0,0,4.445342277777778,0.7893057777777777,18.0
SIMD,elemmul,f32,1056978,0,1,4.430199444444444,0.7995827777777778,18.0
SIMD,elemmul,f32,1056978,1,0,5.373879333333333,0.6647695,18.0
SIMD,elemmul,f32,1056978,1,1,4.836024166666666,0.73311,18.0
SIMD,elemmul,f32,1472547,0,0,4.264143611111112,0.8234005555555556,18.0
SIMD,elemmul,f32,1472547,0,1,4.415436444444445,0.8090814444444444,18.0
SIMD,elemmul,f32,1472547,1,0,4.099146666666666,0.875841611111111,18.0
SIMD,elemmul,f32,1472547,1,1,4.440251444444446,0.7887558333333333,18.0
SIMD,elemmul,f32,2051504,0,0,3.333722611111112,1.132098888888889,18.0
SIMD,elemmul,f32,2051504,0,1,3.741346722222222,0.9566477222222223,18.0
SIMD,elemmul,f32,2051504,1,0,3.1188278888888887,1.186433,18.0
SIMD,elemmul,f32,2051504,1,1,3.8492698888888888,0.9165906111111111,18.0
SIMD,elemmul,f32,2858088,0,0,2.8103717222222224,1.2496231666666666,18.0
SIMD,elemmul,f32,2858088,0,1,3.089904777777778,1.1352429444444447,18.0
SIMD,elemmul,f32,2858088,1,0,2.925219777777778,1.203575,18.0
