kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
saxpy,f32,unit,1,0,1,40960,0,0.000037,2.239169,12.512332,0.893188,0.166667,7853.791954
saxpy,f32,unit,1,0,1,40960,1,0.000064,1.286190,7.187146,1.554980,0.166667,11839.696074
saxpy,f32,unit,1,0,1,40960,2,0.000027,3.089339,17.263026,0.647388,0.166667,15825.600179
saxpy,f32,unit,1,0,1,40960,3,0.000006,14.688901,82.080630,0.136157,0.166667,19811.504370
saxpy,f32,unit,1,0,1,40960,4,0.000005,15.209803,84.991398,0.131494,0.166667,23797.408502
saxpy,f32,unit,1,0,1,40960,5,0.000006,13.687552,76.485158,0.146118,0.166667,27783.312594
saxpy,f32,unit,1,0,1,40960,6,0.000006,14.504249,81.048809,0.137891,0.166667,31769.216745
saxpy,f32,unit,1,0,1,40960,7,0.000020,4.034872,22.546603,0.495679,0.166667,35755.120839
saxpy,f32,unit,1,0,1,40960,8,0.000006,14.491420,80.977122,0.138013,0.166667,39741.025041
saxpy,f32,unit,1,0,1,40960,9,0.000006,14.883721,83.169272,0.134375,0.166667,43726.929203
saxpy,f32,unit,1,0,1,40960,10,0.000020,4.058660,22.679532,0.492773,0.166667,47712.833447
saxpy,f32,unit,1,0,1,40960,11,0.000005,15.164754,84.739665,0.131885,0.166667,51698.737683
saxpy,f32,unit,1,0,1,40960,12,0.000006,14.886426,83.184385,0.134351,0.166667,55684.641881
saxpy,f32,unit,1,0,1,40960,13,0.000006,14.212353,79.417709,0.140723,0.166667,59670.546079
saxpy,f32,unit,1,0,1,40960,14,0.000005,14.978972,83.701531,0.133521,0.166667,63656.450262
saxpy,f32,unit,1,0,1,40960,15,0.000021,3.970916,22.189223,0.503662,0.166667,67642.354257
saxpy,f32,unit,1,0,1,40960,16,0.000006,13.842514,77.351077,0.144482,0.166667,71628.258163
saxpy,f32,unit,1,0,1,40960,17,0.000006,14.170559,79.184167,0.141138,0.166667,75614.162129
saxpy,f32,unit,1,0,1,40960,18,0.000006,13.455979,75.191142,0.148633,0.166667,79600.066010
saxpy,f32,unit,1,0,1,40960,19,0.000006,13.259955,74.095771,0.150830,0.166667,83585.969957
saxpy,f32,unit,1,0,1,40960,20,0.000007,12.226866,68.322936,0.163574,0.166667,87571.873793
saxpy,f32,unit,1,0,1,40960,21,0.000006,13.696706,76.536310,0.146021,0.166667,91557.777646
saxpy,f32,unit,1,0,1,40960,22,0.000020,4.062887,22.703153,0.492261,0.166667,95543.681506
saxpy,f32,unit,1,0,1,40960,23,0.000005,15.235261,85.133657,0.131274,0.166667,99529.585346
saxpy,f32,unit,1,0,1,40960,24,0.000006,14.478614,80.905562,0.138135,0.166667,103515.489175
saxpy,f32,unit,1,0,1,40960,25,0.000006,14.180370,79.238995,0.141040,0.166667,107501.392968
saxpy,f32,unit,1,0,1,40960,26,0.000007,11.692835,65.338806,0.171045,0.166667,111487.296869
saxpy,f32,unit,1,0,1,40960,27,0.000007,12.309542,68.784924,0.162476,0.166667,115473.200744
saxpy,f32,unit,1,0,1,40960,28,0.000006,13.960464,78.010169,0.143262,0.166667,119459.104631
saxpy,f32,unit,1,0,1,40960,29,0.000006,14.440331,80.691640,0.138501,0.166667,123445.008495
