kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
stencil,f32,unit,1,0,1,109226,0,0.000085,3.838912,9.534041,0.781471,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,1,0.000075,4.375224,10.865985,0.685679,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,2,0.000067,4.877395,12.113140,0.615082,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,3,0.000069,4.729900,11.746833,0.634263,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,4,0.000064,5.157522,12.808844,0.581675,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,5,0.000050,6.590202,16.366943,0.455221,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,6,0.000049,6.747761,16.758245,0.444592,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,7,0.000050,6.613879,16.425745,0.453592,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,8,0.000048,6.830752,16.964356,0.439190,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,9,0.000071,4.603318,11.432464,0.651704,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,10,0.000048,6.764616,16.800106,0.443484,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,11,0.000048,6.775386,16.826854,0.442779,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,12,0.000050,6.614413,16.427071,0.453555,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,13,0.000048,6.780293,16.839040,0.442459,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,14,0.000050,6.612944,16.423425,0.453656,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,15,0.000050,6.609609,16.415143,0.453885,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,16,0.000112,2.931586,7.280672,1.023337,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,17,0.000086,3.798945,9.434782,0.789693,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,18,0.000048,6.775246,16.826506,0.442788,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,19,0.000103,3.190291,7.923174,0.940353,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,20,0.000091,3.594537,8.927129,0.834600,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,21,0.000054,6.037254,14.993683,0.496915,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,22,0.000051,6.479820,16.092806,0.462976,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,23,0.000098,3.359870,8.344326,0.892892,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,24,0.000050,6.612944,16.423425,0.453656,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,25,0.000050,6.606145,16.406538,0.454123,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,26,0.000050,6.599360,16.389687,0.454590,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,27,0.000050,6.569458,16.315426,0.456659,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,28,0.000050,6.611743,16.420442,0.453738,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,29,0.000050,6.603615,16.400256,0.454297,0.375000,1744.344400
