kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
stencil,f32,unit,1,0,1,109226,0,0.000037,8.975266,22.290315,0.334252,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,1,0.000036,9.145864,22.713998,0.328017,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,2,0.000036,9.210130,22.873605,0.325728,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,3,0.000024,13.737392,34.117181,0.218382,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,4,0.000024,13.867033,34.439150,0.216340,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,5,0.000024,13.819079,34.320054,0.217091,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,6,0.000024,13.898795,34.518032,0.215846,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,7,0.000060,5.490675,13.636239,0.546381,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,8,0.000024,13.816166,34.312818,0.217137,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,9,0.000024,13.851792,34.401298,0.216578,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,10,0.000024,13.824326,34.333085,0.217009,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,11,0.000024,13.816166,34.312818,0.217137,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,12,0.000024,13.819662,34.321501,0.217082,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,13,0.000024,13.831328,34.350476,0.216899,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,14,0.000024,13.738543,34.120042,0.218364,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,15,0.000024,13.716690,34.065767,0.218712,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,16,0.000024,13.718412,34.070046,0.218684,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,17,0.000024,13.677756,33.969074,0.219334,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,18,0.000024,13.867033,34.439150,0.216340,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,19,0.000024,13.864686,34.433321,0.216377,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,20,0.000024,13.845354,34.385309,0.216679,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,21,0.000024,13.847695,34.391122,0.216643,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,22,0.000024,13.826659,34.338880,0.216972,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,23,0.000024,13.874079,34.456648,0.216231,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,24,0.000024,13.871143,34.449355,0.216276,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,25,0.000024,13.843015,34.379499,0.216716,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,26,0.000026,12.494395,31.030165,0.240108,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,27,0.000025,13.280295,32.981970,0.225899,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,28,0.000025,13.222419,32.838234,0.226887,0.375000,1744.344400
stencil,f32,unit,1,0,1,109226,29,0.000025,13.278142,32.976624,0.225935,0.375000,1744.344400
