kernel,dtype,N,trial,GFLOPs,CPE
saxpy,f32,53461,0,14.739730,0.352788
saxpy,f32,53461,1,14.361585,0.362077
saxpy,f32,53461,2,14.559096,0.357165
saxpy,f32,53461,3,15.543248,0.334550
saxpy,f32,53461,4,15.036141,0.345833
saxpy,f32,53461,5,7.208387,0.721382
saxpy,f32,53461,6,15.779516,0.329541
saxpy,f32,53461,7,15.953745,0.325942
saxpy,f32,53461,8,15.991923,0.325164
saxpy,f32,53461,9,15.844991,0.328179
saxpy,f32,74480,0,12.813763,0.405814
saxpy,f32,74480,1,12.957550,0.401310
saxpy,f32,74480,2,13.249133,0.392479
saxpy,f32,74480,3,13.308318,0.390733
saxpy,f32,74480,4,13.243243,0.392653
saxpy,f32,74480,5,15.622444,0.332854
saxpy,f32,74480,6,16.015482,0.324686
saxpy,f32,74480,7,15.447475,0.336625
saxpy,f32,74480,8,15.494071,0.335612
saxpy,f32,74480,9,15.998282,0.325035
saxpy,f32,103763,0,2.330025,2.231736
saxpy,f32,103763,1,12.485771,0.416474
saxpy,f32,103763,2,13.398283,0.388109
saxpy,f32,103763,3,3.099577,1.677648
saxpy,f32,103763,4,10.729294,0.484654
saxpy,f32,103763,5,2.834706,1.834405
saxpy,f32,103763,6,14.502166,0.358567
saxpy,f32,103763,7,14.754781,0.352428
saxpy,f32,103763,8,3.874501,1.342108
saxpy,f32,103763,9,14.712939,0.353430
saxpy,f32,144560,0,8.673427,0.599532
saxpy,f32,144560,1,2.888802,1.800054
saxpy,f32,144560,2,3.047635,1.706241
saxpy,f32,144560,3,13.439316,0.386924
saxpy,f32,144560,4,13.746018,0.378291
saxpy,f32,144560,5,3.747893,1.387446
saxpy,f32,144560,6,13.834817,0.375863
saxpy,f32,144560,7,3.567401,1.457644
saxpy,f32,144560,8,13.929466,0.373309
saxpy,f32,144560,9,3.862452,1.346295
saxpy,f32,201396,0,4.842239,1.073883
saxpy,f32,201396,1,8.807277,0.590421
saxpy,f32,201396,2,9.437931,0.550968
saxpy,f32,201396,3,8.591063,0.605280
saxpy,f32,201396,4,8.432962,0.616628
saxpy,f32,201396,5,9.823956,0.529318
saxpy,f32,201396,6,9.934443,0.523431
saxpy,f32,201396,7,3.913337,1.328789
saxpy,f32,201396,8,10.036429,0.518113
saxpy,f32,201396,9,9.929056,0.523715
saxpy,f32,280578,0,6.086225,0.854388
saxpy,f32,280578,1,4.680434,1.111008
saxpy,f32,280578,2,4.075355,1.275962
