kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
stencil,f32,unit,1,0,1,2097152,0,0.001534,4.101926,10.187243,0.731364,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,1,0.001238,5.081188,12.619267,0.590413,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,2,0.001135,5.541624,13.762773,0.541358,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,3,0.001658,3.793910,9.422277,0.790741,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,4,0.001346,4.675563,11.611886,0.641634,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,5,0.001192,5.277465,13.106726,0.568455,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,6,0.001182,5.323752,13.221682,0.563512,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,7,0.001935,3.250915,8.073734,0.922817,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,8,0.001624,3.874677,9.622864,0.774258,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,9,0.001400,4.492588,11.157463,0.667767,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,10,0.001371,4.588161,11.394821,0.653857,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,11,0.001925,3.267761,8.115572,0.918060,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,12,0.001748,3.598762,8.937621,0.833620,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,13,0.001449,4.341492,10.782212,0.691007,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,14,0.001364,4.611744,11.453389,0.650513,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,15,0.001725,3.646363,9.055840,0.822738,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,16,0.001467,4.288260,10.650008,0.699584,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,17,0.001255,5.011575,12.446381,0.598614,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,18,0.001217,5.169975,12.839771,0.580274,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,19,0.001125,5.590184,13.883373,0.536655,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,20,0.001586,3.967563,9.853549,0.756132,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,21,0.001522,4.133984,10.266859,0.725692,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,22,0.001250,5.031651,12.496241,0.596226,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,23,0.001256,5.007674,12.436692,0.599081,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,24,0.001386,4.538691,11.271960,0.660984,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,25,0.002375,2.648787,6.578332,1.132594,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,26,0.001673,3.759586,9.337032,0.797960,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,27,0.001483,4.241406,10.533646,0.707313,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,28,0.001364,4.611179,11.451987,0.650593,0.375000,863.027825
stencil,f32,unit,1,0,1,2097152,29,0.001288,4.884898,12.131776,0.614138,0.375000,863.027825
