kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,5248,2,0,0,4.868799,1.437726
saxpy,f32,5248,3,0,0,4.891476,1.431061
saxpy,f32,5248,4,0,0,4.893756,1.430394
saxpy,f32,5248,5,0,0,4.873318,1.436393
saxpy,f32,5248,6,0,0,4.866543,1.438393
saxpy,f32,5248,7,0,0,4.877845,1.435060
saxpy,f32,5248,8,0,0,4.889199,1.431727
saxpy,f32,5248,9,0,0,4.896037,1.429728
saxpy,f32,5248,10,0,0,4.884651,1.433060
saxpy,f32,5248,11,0,0,4.877845,1.435060
saxpy,f32,5248,12,0,0,4.889199,1.431727
saxpy,f32,5248,13,0,0,4.893756,1.430394
saxpy,f32,5248,14,0,0,4.889199,1.431727
saxpy,f32,5248,15,0,0,4.882380,1.433727
saxpy,f32,5248,16,0,0,4.880112,1.434393
saxpy,f32,5248,17,0,0,4.884651,1.433060
saxpy,f32,5248,18,0,0,4.900607,1.428395
saxpy,f32,5248,19,0,0,4.882380,1.433727
saxpy,f32,7312,0,0,0,3.783295,1.850239
saxpy,f32,7312,1,0,0,3.952986,1.770813
saxpy,f32,7312,2,0,0,3.930682,1.780861
saxpy,f32,7312,3,0,0,3.967996,1.764115
saxpy,f32,7312,4,0,0,3.986376,1.755981
saxpy,f32,7312,5,0,0,3.696311,1.893780
saxpy,f32,7312,6,0,0,3.712256,1.885646
saxpy,f32,7312,7,0,0,3.727389,1.877990
saxpy,f32,7312,8,0,0,3.700051,1.891866
saxpy,f32,7312,9,0,0,3.918050,1.786603
saxpy,f32,7312,10,0,0,3.730240,1.876555
saxpy,f32,7312,11,0,0,3.952986,1.770813
saxpy,f32,7312,12,0,0,3.718861,1.882297
saxpy,f32,7312,13,0,0,3.663912,1.910526
saxpy,f32,7312,14,0,0,3.721699,1.880861
saxpy,f32,7312,15,0,0,3.716027,1.883732
saxpy,f32,7312,16,0,0,3.737864,1.872727
saxpy,f32,7312,17,0,0,3.716972,1.883254
saxpy,f32,7312,18,0,0,3.723594,1.879904
saxpy,f32,7312,19,0,0,3.704735,1.889474
saxpy,f32,10186,0,0,0,3.797615,1.843262
saxpy,f32,10186,1,0,0,3.892646,1.798263
saxpy,f32,10186,2,0,0,3.810396,1.837079
saxpy,f32,10186,3,0,0,3.842006,1.821965
saxpy,f32,10186,4,0,0,3.890416,1.799293
saxpy,f32,10186,5,0,0,3.639578,1.923300
saxpy,f32,10186,6,0,0,3.566953,1.962460
saxpy,f32,10186,7,0,0,3.872672,1.807538
saxpy,f32,10186,8,0,0,3.622756,1.932231
saxpy,f32,10186,9,0,0,3.635682,1.925361
saxpy,f32,10186,10,0,0,3.638929,1.923643
saxpy,f32,10186,11,0,0,3.865326,1.810973
saxpy,f32,10186,12,0,0,3.538462,1.978261
saxpy,f32,10186,13,0,0,3.651317,1.917116
saxpy,f32,10186,14,0,0,3.640879,1.922613
saxpy,f32,10186,15,0,0,3.829012,1.828148
saxpy,f32,10186,16,0,0,3.629207,1.928796
saxpy,f32,10186,17,0,0,3.627915,1.929483
saxpy,f32,10186,18,0,0,3.615685,1.936009
saxpy,f32,10186,19,0,0,3.828292,1.828492
saxpy,f32,14191,0,0,0,4.102905,1.706108
saxpy,f32,14191,1,0,0,4.072884,1.718684
saxpy,f32,14191,2,0,0,4.127963,1.695752
saxpy,f32,14191,3,0,0,4.114799,1.701177
saxpy,f32,14191,4,0,0,4.076978,1.716958
saxpy,f32,14191,5,0,0,3.821241,1.831866
saxpy,f32,14191,6,0,0,4.079322,1.715972
saxpy,f32,14191,7,0,0,4.106466,1.704629
saxpy,f32,14191,8,0,0,3.830522,1.827427
saxpy,f32,14191,9,0,0,3.662023,1.911512
saxpy,f32,14191,10,0,0,3.814566,1.835071
saxpy,f32,14191,11,0,0,3.832073,1.826687
saxpy,f32,14191,12,0,0,3.760000,1.861702
saxpy,f32,14191,13,0,0,3.801795,1.841236
saxpy,f32,14191,14,0,0,4.105872,1.704875
saxpy,f32,14191,15,0,0,3.806382,1.839016
saxpy,f32,14191,16,0,0,4.124364,1.697231
saxpy,f32,14191,17,0,0,4.005079,1.747781
saxpy,f32,14191,18,0,0,3.788603,1.847647
saxpy,f32,14191,19,0,0,4.113607,1.701670
saxpy,f32,19771,0,0,0,4.076693,1.717078
saxpy,f32,19771,1,0,0,3.873457,1.807171
saxpy,f32,19771,2,0,0,3.786672,1.848589
saxpy,f32,19771,3,0,0,3.898275,1.795666
saxpy,f32,19771,4,0,0,3.848205,1.819030
saxpy,f32,19771,5,0,0,3.961535,1.766992
saxpy,f32,19771,6,0,0,3.740471,1.871422
saxpy,f32,19771,7,0,0,3.884109,1.802215
saxpy,f32,19771,8,0,0,4.002024,1.749115
saxpy,f32,19771,9,0,0,4.064125,1.722388
saxpy,f32,19771,10,0,0,3.570281,1.960630
saxpy,f32,19771,11,0,0,3.750403,1.866466
