kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
saxpy,f32,unit,1,0,1,11180000,0,0.008319,2.687751,15.018977,0.744117,0.166667,7196.703314
saxpy,f32,unit,1,0,1,11180000,1,0.009058,2.468671,13.794776,0.810152,0.166667,10394.367489
saxpy,f32,unit,1,0,1,11180000,2,0.009637,2.320200,12.965127,0.861995,0.166667,13592.031487
saxpy,f32,unit,1,0,1,11180000,3,0.009087,2.460643,13.749915,0.812796,0.166667,16789.696723
saxpy,f32,unit,1,0,1,11180000,4,0.011356,1.969009,11.002693,1.015740,0.166667,19987.361404
saxpy,f32,unit,1,0,1,11180000,5,0.008224,2.718746,15.192175,0.735633,0.166667,23185.026010
saxpy,f32,unit,1,0,1,11180000,6,0.008995,2.485830,13.890660,0.804560,0.166667,26382.691062
saxpy,f32,unit,1,0,1,11180000,7,0.010587,2.112013,11.801795,0.946964,0.166667,29580.357585
saxpy,f32,unit,1,0,1,11180000,8,0.008827,2.533076,14.154666,0.789554,0.166667,32778.021650
saxpy,f32,unit,1,0,1,11180000,9,0.010892,2.052954,11.471774,0.974206,0.166667,35975.686040
saxpy,f32,unit,1,0,1,11180000,10,0.009368,2.386918,13.337943,0.837901,0.166667,39173.349441
saxpy,f32,unit,1,0,1,11180000,11,0.010426,2.144612,11.983956,0.932569,0.166667,42371.013427
saxpy,f32,unit,1,0,1,11180000,12,0.009803,2.280997,12.746067,0.876809,0.166667,45568.676999
saxpy,f32,unit,1,0,1,11180000,13,0.008948,2.498964,13.964048,0.800332,0.166667,48766.340397
saxpy,f32,unit,1,0,1,11180000,14,0.007967,2.806573,15.682946,0.712613,0.166667,51964.003974
saxpy,f32,unit,1,0,1,11180000,15,0.009305,2.403092,13.428322,0.832261,0.166667,55161.664454
saxpy,f32,unit,1,0,1,11180000,16,0.007732,2.891784,16.159100,0.691615,0.166667,58359.324970
saxpy,f32,unit,1,0,1,11180000,17,0.008589,2.603357,14.547392,0.768239,0.166667,61556.984164
saxpy,f32,unit,1,0,1,11180000,18,0.008335,2.682508,14.989682,0.745571,0.166667,64754.643830
saxpy,f32,unit,1,0,1,11180000,19,0.008340,2.681130,14.981984,0.745954,0.166667,67952.306202
saxpy,f32,unit,1,0,1,11180000,20,0.008940,2.500997,13.975412,0.799681,0.166667,71149.968426
saxpy,f32,unit,1,0,1,11180000,21,0.009401,2.378413,13.290417,0.840897,0.166667,74347.628372
saxpy,f32,unit,1,0,1,11180000,22,0.007797,2.867824,16.025214,0.697393,0.166667,77545.288495
saxpy,f32,unit,1,0,1,11180000,23,0.011341,1.971601,11.017181,1.014404,0.166667,80742.949368
saxpy,f32,unit,1,0,1,11180000,24,0.008552,2.614700,14.610774,0.764906,0.166667,83940.609527
saxpy,f32,unit,1,0,1,11180000,25,0.008512,2.626745,14.678084,0.761398,0.166667,87138.270538
saxpy,f32,unit,1,0,1,11180000,26,0.008711,2.566730,14.342720,0.779202,0.166667,90335.931257
saxpy,f32,unit,1,0,1,11180000,27,0.009450,2.366167,13.221986,0.845249,0.166667,93533.591989
saxpy,f32,unit,1,0,1,11180000,28,0.008786,2.544843,14.220419,0.785903,0.166667,96731.252708
saxpy,f32,unit,1,0,1,11180000,29,0.008567,2.609939,14.584169,0.766302,0.166667,99928.912995
