kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,109226,0,0.001174,0.093065,1.040079,10.745216,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,1,0.000228,0.478078,5.342938,2.091709,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,2,0.000057,1.920457,21.462781,0.520709,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,3,0.000088,1.241515,13.875011,0.805468,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,4,0.000045,2.446435,27.341046,0.408758,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,5,0.000112,0.971580,10.858253,1.029251,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,6,0.000179,0.611376,6.832660,1.635655,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,7,0.000036,3.076096,34.378046,0.325087,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,8,0.000037,2.946957,32.934807,0.339333,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,9,0.000037,2.964392,33.129666,0.337337,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,10,0.000038,2.901706,32.429087,0.344625,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,11,0.000040,2.743338,30.659191,0.364519,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,12,0.000034,3.195238,35.709562,0.312966,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,13,0.000036,3.063413,34.236311,0.326433,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,14,0.000032,3.364631,37.602676,0.297209,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,15,0.000033,3.353783,37.481444,0.298171,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,16,0.000034,3.256298,36.391965,0.307097,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,17,0.000031,3.520126,39.340477,0.284081,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,18,0.000031,3.567379,39.868563,0.280318,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,19,0.000029,3.804458,42.518136,0.262850,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,20,0.000058,1.890999,21.133562,0.528821,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,21,0.000033,3.281045,36.668539,0.304781,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,22,0.000028,3.967815,44.343784,0.252028,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,23,0.000027,4.065131,45.431377,0.245995,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,24,0.000091,1.194928,13.354364,0.836870,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,25,0.000088,1.246374,13.929317,0.802327,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,26,0.000026,4.125628,46.107485,0.242387,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,27,0.000033,3.352445,37.466489,0.298290,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,28,0.000038,2.870742,32.083044,0.348342,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,29,0.000046,2.356040,26.330795,0.424441,0.083333,222.478163
