kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
saxpy,f32,unit,1,0,1,2097152,0,0.001094,3.834196,21.425241,0.521622,0.166667,2458.213085
saxpy,f32,unit,1,0,1,2097152,1,0.000725,5.781443,32.306331,0.345934,0.166667,4182.288329
saxpy,f32,unit,1,0,1,2097152,2,0.000644,6.516082,36.411443,0.306933,0.166667,5906.363564
saxpy,f32,unit,1,0,1,2097152,3,0.000622,6.742094,37.674387,0.296644,0.166667,7630.439209
saxpy,f32,unit,1,0,1,2097152,4,0.000843,4.976707,27.809518,0.401872,0.166667,9354.514669
saxpy,f32,unit,1,0,1,2097152,5,0.000657,6.379975,35.650888,0.313481,0.166667,11078.589600
saxpy,f32,unit,1,0,1,2097152,6,0.001310,3.200862,17.886211,0.624832,0.166667,12802.664499
saxpy,f32,unit,1,0,1,2097152,7,0.001291,3.249016,18.155291,0.615571,0.166667,14526.739624
saxpy,f32,unit,1,0,1,2097152,8,0.000824,5.090842,28.447296,0.392862,0.166667,16250.813335
saxpy,f32,unit,1,0,1,2097152,9,0.000786,5.338757,29.832632,0.374619,0.166667,17974.887742
saxpy,f32,unit,1,0,1,2097152,10,0.000665,6.310242,35.261223,0.316945,0.166667,19698.962257
saxpy,f32,unit,1,0,1,2097152,11,0.000679,6.175032,34.505680,0.323885,0.166667,21423.036890
saxpy,f32,unit,1,0,1,2097152,12,0.000654,6.410946,35.823955,0.311966,0.166667,23147.111189
saxpy,f32,unit,1,0,1,2097152,13,0.000660,6.352359,35.496573,0.314844,0.166667,24871.185521
saxpy,f32,unit,1,0,1,2097152,14,0.000654,6.415948,35.851902,0.311723,0.166667,26595.259879
saxpy,f32,unit,1,0,1,2097152,15,0.000659,6.361840,35.549552,0.314374,0.166667,28319.336150
saxpy,f32,unit,1,0,1,2097152,16,0.000633,6.620843,36.996843,0.302076,0.166667,30043.412017
saxpy,f32,unit,1,0,1,2097152,17,0.000624,6.725640,37.582441,0.297369,0.166667,31767.487430
saxpy,f32,unit,1,0,1,2097152,18,0.000676,6.200574,34.648408,0.322551,0.166667,33491.563255
saxpy,f32,unit,1,0,1,2097152,19,0.000920,4.557901,25.469259,0.438798,0.166667,35215.639899
saxpy,f32,unit,1,0,1,2097152,20,0.001547,2.711992,15.154435,0.737465,0.166667,36939.716527
saxpy,f32,unit,1,0,1,2097152,21,0.001177,3.565054,19.921292,0.561001,0.166667,38663.793031
saxpy,f32,unit,1,0,1,2097152,22,0.001020,4.111116,22.972648,0.486486,0.166667,40387.870051
saxpy,f32,unit,1,0,1,2097152,23,0.000810,5.175655,28.921224,0.386425,0.166667,42111.947338
saxpy,f32,unit,1,0,1,2097152,24,0.000723,5.798548,32.401909,0.344914,0.166667,43836.024342
saxpy,f32,unit,1,0,1,2097152,25,0.000649,6.461135,36.104406,0.309543,0.166667,45560.101972
saxpy,f32,unit,1,0,1,2097152,26,0.000665,6.307622,35.246587,0.317077,0.166667,47284.179448
saxpy,f32,unit,1,0,1,2097152,27,0.000629,6.662966,37.232226,0.300167,0.166667,49008.256977
saxpy,f32,unit,1,0,1,2097152,28,0.000660,6.354245,35.507114,0.314750,0.166667,50732.334546
saxpy,f32,unit,1,0,1,2097152,29,0.001675,2.503898,13.991618,0.798755,0.166667,52456.412271
