kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,109226,0,0.000101,1.080237,12.072589,0.925723,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,1,0.000094,1.157816,12.939597,0.863695,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,2,0.000162,0.675072,7.544519,1.481323,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,3,0.000147,0.741823,8.290517,1.348031,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,4,0.000108,1.008709,11.273198,0.991367,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,5,0.000073,1.498381,16.745715,0.667387,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,6,0.000067,1.638456,18.311168,0.610331,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,7,0.000067,1.633213,18.252574,0.612290,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,8,0.000116,0.945082,10.562118,1.058109,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,9,0.000129,0.846569,9.461144,1.181239,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,10,0.000118,0.927932,10.370453,1.077665,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,11,0.000081,1.351054,15.099211,0.740163,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,12,0.000083,1.320494,14.757673,0.757292,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,13,0.000116,0.943759,10.547334,1.059592,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,14,0.000187,0.582545,6.510446,1.716606,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,15,0.000062,1.756695,19.632592,0.569251,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,16,0.000063,1.729710,19.331016,0.578132,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,17,0.000063,1.734792,19.387816,0.576438,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,18,0.000121,0.904990,10.114055,1.104984,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,19,0.000061,1.801666,20.135186,0.555042,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,20,0.000060,1.832313,20.477692,0.545758,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,21,0.000061,1.800834,20.125891,0.555298,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,22,0.000060,1.825545,20.402054,0.547782,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,23,0.000059,1.860464,20.792309,0.537500,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,24,0.000060,1.823594,20.380254,0.548368,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,25,0.000059,1.837244,20.532803,0.544293,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,26,0.000056,1.944077,21.726749,0.514383,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,27,0.000058,1.898625,21.218788,0.526697,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,28,0.000072,1.523163,17.022670,0.656529,0.083333,222.478163
elemmul,f32,unit,1,0,1,109226,29,0.000105,1.039644,11.618923,0.961868,0.083333,222.478163
