kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,11180000,0,0.007489,1.492952,16.685044,0.669814,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,1,0.010538,1.060965,11.857212,0.942538,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,2,0.011789,0.948376,10.598928,1.054434,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,3,0.012111,0.923131,10.316798,1.083269,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,4,0.009295,1.202816,13.442512,0.831383,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,5,0.008872,1.260174,14.083537,0.793542,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,6,0.009423,1.186469,13.259826,0.842837,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,7,0.009223,1.212242,13.547864,0.824918,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,8,0.008806,1.269639,14.189324,0.787625,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,9,0.008663,1.290558,14.423112,0.774858,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,10,0.010543,1.060436,11.851301,0.943008,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,11,0.009202,1.214957,13.578205,0.823074,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,12,0.008960,1.247762,13.944829,0.801435,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,13,0.008880,1.258967,14.070050,0.794302,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,14,0.010599,1.054844,11.788804,0.948007,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,15,0.008823,1.267104,14.160990,0.789201,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,16,0.008664,1.290455,14.421955,0.774921,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,17,0.012090,0.924746,10.334846,1.081378,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,18,0.007733,1.445682,16.156754,0.691715,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,19,0.011033,1.013351,11.325085,0.986824,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,20,0.009063,1.233615,13.786722,0.810626,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,21,0.010538,1.060960,11.857156,0.942542,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,22,0.012340,0.906021,10.125577,1.103727,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,23,0.013698,0.816181,9.121528,1.225219,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,24,0.012837,0.870936,9.733474,1.148189,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,25,0.013769,0.811966,9.074424,1.231579,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,26,0.009165,1.219904,13.633492,0.819736,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,27,0.008140,1.373541,15.350522,0.728045,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,28,0.013144,0.850551,9.505651,1.175708,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,29,0.014401,0.776330,8.676160,1.288113,0.083333,320.699947
