kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,11180000,0,0.007928,1.410235,15.760604,0.709102,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,1,0.009626,1.161445,12.980158,0.860997,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,2,0.010303,1.085118,12.127135,0.921559,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,3,0.019276,0.579996,6.481961,1.724150,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,4,0.011734,0.952809,10.648471,1.049528,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,5,0.010341,1.081099,12.082219,0.924985,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,6,0.009212,1.213689,13.564035,0.823934,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,7,0.008968,1.246691,13.932854,0.802124,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,8,0.008895,1.256872,14.046641,0.795626,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,9,0.009655,1.157960,12.941216,0.863587,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,10,0.009011,1.240742,13.866376,0.805969,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,11,0.008621,1.296775,14.492594,0.771144,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,12,0.008343,1.340049,14.976216,0.746241,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,13,0.009582,1.166796,13.039957,0.857048,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,14,0.008932,1.251736,13.989241,0.798890,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,15,0.009443,1.183947,13.231639,0.844632,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,16,0.008896,1.256681,14.044500,0.795747,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,17,0.009325,1.198934,13.399134,0.834074,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,18,0.008734,1.280081,14.306019,0.781201,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,19,0.008888,1.257882,14.057925,0.794987,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,20,0.008713,1.283127,14.340057,0.779346,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,21,0.009081,1.231137,13.759024,0.812258,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,22,0.009306,1.201372,13.426384,0.832381,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,23,0.012964,0.862381,9.637855,1.159581,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,24,0.011132,1.004275,11.223650,0.995743,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,25,0.010729,1.042024,11.645531,0.959670,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,26,0.010101,1.106835,12.369850,0.903477,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,27,0.009247,1.209001,13.511642,0.827129,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,28,0.009118,1.226181,13.703637,0.815541,0.083333,320.699947
elemmul,f32,unit,1,0,1,11180000,29,0.008326,1.342772,15.006643,0.744728,0.083333,320.699947
