kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
saxpy,f32,unit,1,0,1,109226,0,0.000028,7.745975,43.284011,0.258199,0.166667,7647.600092
saxpy,f32,unit,1,0,1,109226,1,0.000023,9.682298,54.104054,0.206563,0.166667,11137.624767
saxpy,f32,unit,1,0,1,109226,2,0.000021,10.223803,57.129952,0.195622,0.166667,14627.649472
saxpy,f32,unit,1,0,1,109226,3,0.000014,15.428491,86.213410,0.129630,0.166667,18117.674240
saxpy,f32,unit,1,0,1,109226,4,0.000014,15.601486,87.180094,0.128193,0.166667,21607.699022
saxpy,f32,unit,1,0,1,109226,5,0.000014,15.578122,87.049538,0.128385,0.166667,25097.723658
saxpy,f32,unit,1,0,1,109226,6,0.000014,15.639462,87.392302,0.127882,0.166667,28587.748399
saxpy,f32,unit,1,0,1,109226,7,0.000014,15.604829,87.198777,0.128165,0.166667,32077.773110
saxpy,f32,unit,1,0,1,109226,8,0.000014,15.505146,86.641754,0.128989,0.166667,35567.797797
saxpy,f32,unit,1,0,1,109226,9,0.000014,15.569240,86.999906,0.128458,0.166667,39057.822515
saxpy,f32,unit,1,0,1,109226,10,0.000014,15.540442,86.838989,0.128696,0.166667,42547.847380
saxpy,f32,unit,1,0,1,109226,11,0.000014,15.593690,87.136532,0.128257,0.166667,46037.872227
saxpy,f32,unit,1,0,1,109226,12,0.000014,15.655153,87.479982,0.127753,0.166667,49527.896944
saxpy,f32,unit,1,0,1,109226,13,0.000014,15.577011,87.043331,0.128394,0.166667,53017.921636
saxpy,f32,unit,1,0,1,109226,14,0.000014,15.632747,87.354778,0.127937,0.166667,56507.946230
saxpy,f32,unit,1,0,1,109226,15,0.000014,15.621568,87.292311,0.128028,0.166667,59997.970735
saxpy,f32,unit,1,0,1,109226,16,0.000014,15.531603,86.789596,0.128770,0.166667,63487.995416
saxpy,f32,unit,1,0,1,109226,17,0.000014,15.593690,87.136532,0.128257,0.166667,66978.019870
saxpy,f32,unit,1,0,1,109226,18,0.000014,15.563693,86.968914,0.128504,0.166667,70468.044461
saxpy,f32,unit,1,0,1,109226,19,0.000014,15.619334,87.279828,0.128046,0.166667,73958.069122
saxpy,f32,unit,1,0,1,109226,20,0.000014,15.541548,86.845168,0.128687,0.166667,77448.093717
saxpy,f32,unit,1,0,1,109226,21,0.000014,15.512853,86.684823,0.128925,0.166667,80938.118409
saxpy,f32,unit,1,0,1,109226,22,0.000014,15.558151,86.937944,0.128550,0.166667,84428.143187
saxpy,f32,unit,1,0,1,109226,23,0.000014,15.570349,87.006107,0.128449,0.166667,87918.167960
saxpy,f32,unit,1,0,1,109226,24,0.000014,15.574790,87.030919,0.128413,0.166667,91408.192705
saxpy,f32,unit,1,0,1,109226,25,0.000014,15.605944,87.205006,0.128156,0.166667,94898.217485
saxpy,f32,unit,1,0,1,109226,26,0.000014,15.569240,86.999906,0.128458,0.166667,98388.242342
saxpy,f32,unit,1,0,1,109226,27,0.000014,15.509549,86.666360,0.128953,0.166667,101878.267131
saxpy,f32,unit,1,0,1,109226,28,0.000014,15.591464,87.124094,0.128275,0.166667,105368.291999
saxpy,f32,unit,1,0,1,109226,29,0.000014,15.583678,87.080587,0.128339,0.166667,108858.316739
