kernel,dtype,N,trial,misaligned,tail_multiple,GFLOPs,CPE
saxpy,f32,5248,2,0,0,33.339683,0.155970
saxpy,f32,5248,3,0,0,33.129338,0.156961
saxpy,f32,5248,4,0,0,32.614907,0.159436
saxpy,f32,5248,5,0,0,33.660256,0.154485
saxpy,f32,5248,6,0,0,33.877419,0.153495
saxpy,f32,5248,7,0,0,33.768489,0.153990
saxpy,f32,5248,8,0,0,33.768489,0.153990
saxpy,f32,5248,9,0,0,33.234177,0.156465
saxpy,f32,5248,10,0,0,33.768489,0.153990
saxpy,f32,5248,11,0,0,33.660256,0.154485
saxpy,f32,5248,12,0,0,33.768489,0.153990
saxpy,f32,5248,13,0,0,33.877419,0.153495
saxpy,f32,5248,14,0,0,33.339683,0.155970
saxpy,f32,5248,15,0,0,33.552716,0.154980
saxpy,f32,5248,16,0,0,33.552716,0.154980
saxpy,f32,5248,17,0,0,33.660256,0.154485
saxpy,f32,5248,18,0,0,33.234177,0.156465
saxpy,f32,5248,19,0,0,33.660256,0.154485
saxpy,f32,7312,0,0,0,16.796785,0.309583
saxpy,f32,7312,1,0,0,23.905229,0.217526
saxpy,f32,7312,2,0,0,24.838710,0.209351
saxpy,f32,7312,3,0,0,25.355286,0.205085
saxpy,f32,7312,4,0,0,23.944354,0.217170
saxpy,f32,7312,5,0,0,22.859375,0.227478
saxpy,f32,7312,6,0,0,23.827362,0.218237
saxpy,f32,7312,7,0,0,23.596774,0.220369
saxpy,f32,7312,8,0,0,23.333333,0.222857
saxpy,f32,7312,9,0,0,23.905229,0.217526
saxpy,f32,7312,10,0,0,23.944354,0.217170
saxpy,f32,7312,11,0,0,24.505863,0.212194
saxpy,f32,7312,12,0,0,23.370607,0.222502
saxpy,f32,7312,13,0,0,25.711775,0.202242
saxpy,f32,7312,14,0,0,25.008547,0.207929
saxpy,f32,7312,15,0,0,25.757042,0.201887
saxpy,f32,7312,16,0,0,25.985790,0.200109
saxpy,f32,7312,17,0,0,26.218638,0.198332
saxpy,f32,7312,18,0,0,24.629630,0.211128
