kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,2097152,0,0.001596,1.313967,14.684727,0.761054,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,1,0.001347,1.556374,17.393837,0.642519,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,2,0.001461,1.435213,16.039756,0.696761,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,3,0.001510,1.388617,15.519005,0.720141,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,4,0.002464,0.851098,9.511764,1.174953,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,5,0.002106,0.995585,11.126535,1.004434,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,6,0.002279,0.920034,10.282176,1.086917,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,7,0.002469,0.849482,9.493705,1.177187,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,8,0.002295,0.913920,10.213851,1.094188,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,9,0.002492,0.841715,9.406897,1.188051,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,10,0.002526,0.830081,9.276873,1.204702,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,11,0.001697,1.235943,13.812741,0.809099,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,12,0.001899,1.104490,12.343641,0.905395,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,13,0.001539,1.362597,15.228204,0.733893,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,14,0.001946,1.077466,12.041622,0.928103,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,15,0.001920,1.092317,12.207597,0.915485,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,16,0.001704,1.231017,13.757687,0.812336,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,17,0.001619,1.295351,14.476681,0.771991,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,18,0.001735,1.209031,13.511971,0.827109,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,19,0.001890,1.109400,12.398511,0.901388,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,20,0.001747,1.200327,13.414704,0.833106,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,21,0.001638,1.280155,14.306852,0.781155,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,22,0.002268,0.924521,10.332332,1.081641,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,23,0.002185,0.959898,10.727693,1.041778,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,24,0.001759,1.192580,13.328121,0.838518,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,25,0.001680,1.248167,13.949357,0.801175,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,26,0.001917,1.093817,12.224355,0.914230,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,27,0.002291,0.915222,10.228400,1.092631,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,28,0.001731,1.211452,13.539032,0.825456,0.083333,490.483186
elemmul,f32,unit,1,0,1,2097152,29,0.001752,1.196966,13.377133,0.835446,0.083333,490.483186
