kernel,dtype,access,stride,misaligned,tail_multiple,N,trial,time_s,GFLOPs,GiBps,ns_per_elem,arith_intensity,checksum
elemmul,f32,unit,1,0,1,40960,0,0.000007,6.036846,67.467011,0.165649,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,1,0.000006,6.431151,71.873712,0.155493,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,2,0.000006,6.441264,71.986739,0.155249,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,3,0.000006,6.422076,71.772291,0.155713,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,4,0.000006,6.465667,72.259459,0.154663,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,5,0.000006,6.429132,71.851149,0.155542,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,6,0.000006,6.391013,71.425132,0.156470,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,7,0.000006,6.413026,71.671156,0.155933,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,8,0.000006,6.447348,72.054726,0.155103,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,9,0.000006,6.439239,71.964105,0.155298,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,10,0.000006,6.466688,72.270867,0.154639,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,11,0.000006,6.428123,71.839873,0.155566,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,12,0.000006,6.427114,71.828601,0.155591,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,13,0.000006,6.453443,72.122841,0.154956,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,14,0.000006,6.375097,71.247264,0.156860,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,15,0.000006,6.403001,71.559117,0.156177,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,16,0.000006,6.482038,72.442423,0.154272,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,17,0.000006,6.428123,71.839873,0.155566,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,18,0.000005,7.613383,85.086184,0.131348,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,19,0.000005,7.631824,85.292281,0.131030,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,20,0.000005,7.636092,85.339984,0.130957,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,21,0.000005,7.657506,85.579299,0.130591,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,22,0.000005,7.604902,84.991398,0.131494,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,23,0.000005,7.751703,86.632035,0.129004,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,24,0.000005,7.660370,85.611309,0.130542,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,25,0.000039,1.039172,11.613651,0.962305,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,26,0.000006,7.066943,78.979239,0.141504,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,27,0.000005,7.573964,84.645649,0.132031,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,28,0.000005,7.585185,84.771050,0.131836,0.083333,7.022927
elemmul,f32,unit,1,0,1,40960,29,0.000005,7.593623,84.865345,0.131689,0.083333,7.022927
